id,name,region,type,status,google_name,google_place_id,confidence
"351","Pannenkoe Restaurant Ridderkerk","Rotterdam","pancake","fixed","Pannenkoe Ridderkerk","ChIJtUZGlcQtxEcRhgxcmlMf0DI","first-word"
"497","Ballorig Tilburg","Tilburg","play","fixed","Ballorig Tilburg | Indoor speeltuin","ChIJVY8R85yVxkcR3qcwfN59UhI","contains"
"516","Brasserie Anvers","Tilburg","horeca","fixed","Anvers","ChIJ5wQnMzS-xkcRjvRhtSr1Zj4","contains"
"515","Cafe Brandpunt","Tilburg","horeca","fixed","Café Brandpunt","ChIJewVSMsu_xkcR_51wp1z0bUI","exact"
"510","De Pont Museum","Tilburg","museum","fixed","De Pont Museum","ChIJ25uraCS-xkcRCsnfJPp_Ok0","exact"
"503","Dierenweide Quirijnstokpark","Tilburg","nature","name_mismatch","Onze 013 Boerderij Hertenweide Quirijnstokpark","ChIJCZnHXQ6VxkcRqVZB6fBqqP8","none"
"511","Het Ketelhuis","Tilburg","pancake","fixed","Het Ketelhuis Tilburg","ChIJf-23Bbi_xkcRVDeXh7_YSak","contains"
"506","Kinderboerderij Stokhasselt","Tilburg","nature","name_mismatch","Onze 013 boerderij Stokhasselt","ChIJISY0OJOVxkcRcImlWx92PCY","none"
"502","Kinderboerderij Wandelbos","Tilburg","nature","name_mismatch","Onze 013 boerderij Het Wandelbos","ChIJx56jPv69xkcRydUTEBOTHRU","none"
"501","Leijpark","Tilburg","nature","fixed","Leijpark","ChIJF8T9U7e_xkcRazMwo4w4adE","exact"
"496","Monkey Town Tilburg","Tilburg","play","fixed","Monkey Town Tilburg | Indoor Speeltuin","ChIJGRFp2mGXxkcRoHNh-P0aOUQ","contains"
"507","Natuurmuseum Brabant","Tilburg","museum","fixed","Stichting Natuurmuseum Brabant","ChIJlQRnBjG-xkcRCzyCzPzNCoE","contains"
"508","Ontdekstation013","Tilburg","museum","fixed","Ontdekstation","ChIJZ56AwjK-xkcRNKOXUi3HevY","contains"
"505","Oude Warande","Tilburg","nature","fixed","Oude Warande","ChIJX7-bkeO9xkcR0mZK2rGRqbg","exact"
"512","Pannenkoekenparadijs Tilburg","Tilburg","pancake","fixed","PannenkoekenParadijs Tilburg","ChIJd9nRjSmWxkcROzmqzvNm0Is","exact"
"513","Pannenkoekenrestaurant De Financien","Tilburg","pancake","fixed","Pannenkoekenrestaurant De Financiën","ChIJNWXUUDWUxkcR789XW44kI64","exact"
"504","Safaripark Beekse Bergen","Tilburg","nature","fixed","Safaripark Beekse Bergen","ChIJD-cvPIG_xkcRgaD1r8yPtYs","exact"
"500","Speelland Beekse Bergen","Tilburg","play","fixed","Speelland Beekse Bergen","ChIJp_pb9Xe_xkcRJqdQ56VS-zc","exact"
"499","Spoorpark Tilburg","Tilburg","play","fixed","Spoorpark","ChIJiQ49ezu-xkcRqdSYk9lTwz8","contains"
"517","T-Huis Spoorpark","Tilburg","horeca","fixed","T-Huis","ChIJGVtbzxm_xkcRd4shhBZdr4M","contains"
"509","TextielMuseum","Tilburg","museum","fixed","TextielMuseum","ChIJUde01Ce-xkcRVG_mRDfM0dY","exact"
"514","Uitspanning De Zeven Geitjes","Tilburg","horeca","fixed","Uitspanning De Zeven Geitjes","ChIJ4Rcebvy9xkcRj_c3twCn_fE","exact"
"498","Voltkids Adventure","Tilburg","play","fixed","Voltkids Adventure","ChIJwV1xoky-xkcRVTd5HftuQQ0","exact"
